Q,H,Eta1,NPSH
1182.3777403035413,10.192660550458717,79.26428571428572,
1228.752107925801,9.788990825688073,81.40316326530613,13.92830188679245
1270.4890387858347,9.410550458715596,83.2690950150552,12.46483704974271
1303.8785834738617,9.057339449541283,84.01161759785882,11.361694553221787
1346.5430016863406,8.527522935779816,84.50663265306122,10.133499466002128
1403.1197301854977,7.770642201834862,84.4167638483965,8.941680960548883
1452.2765598650926,7.064220183486238,83.91066058002149,8.57402031930334
1502.3608768971333,6.33256880733945,82.90533395176253,8.01054384017758
1557.0826306913996,5.474770642201835,81.34569160997734,7.846836847946726
1607.1669477234402,4.6422018348623855,78.62681632653062,7.963374028856825
1659.106239460371,3.73394495412844,73.48605442176873,8.641509433962263
1703.6256323777402,2.80045871559633,64.69056122448983,9.731031714171014
1744.4350758853288,1.86697247706422,51.737931711146004,10.37735849056604
