Q,H,Eta1,NPSH
787.98,9.78,51.17,
868.05,9.52,54.86,4.41
948.12,9.26,58.79,4.36
1028.19,8.96,62.75,4.35
1108.26,8.60,66.60,4.37
1188.33,8.17,70.25,4.44
1268.40,7.68,73.66,4.56
1348.47,7.13,76.81,4.72
1428.54,6.52,79.60,4.94
1508.61,5.86,81.81,5.23
1588.68,5.12,83.00,5.61
1608.89,4.93,83.06,5.72
1668.75,4.32,82.42,6.09
1748.82,3.44,78.87,6.68
1828.89,2.48,70.56,7.35
1908.96,1.47,54.97,8.09
